"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"female","CH",202023,0,734,0,0,4337170,0,16.92,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202024,1,735,0.25,25,4337170,0.02,16.95,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202025,2,737,1,100,4337170,0.05,16.99,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202026,0,737,0,0,4337170,0,16.99,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202027,1,738,0.5,50,4337170,0.02,17.02,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202028,1,739,0.5,50,4337170,0.02,17.04,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202029,0,739,0,0,4337170,0,17.04,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202030,1,740,0.2,20,4337170,0.02,17.06,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202031,1,741,0.2,20,4337170,0.02,17.08,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202032,2,743,0.4,40,4337170,0.05,17.13,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202033,1,744,0.2,20,4337170,0.02,17.15,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202034,3,747,0.6,60,4337170,0.07,17.22,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202035,2,749,0.5,50,4337170,0.05,17.27,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202036,7,756,0.538,53.8,4337170,0.16,17.43,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202037,6,762,0.353,35.3,4337170,0.14,17.57,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202038,9,771,0.6,60,4337170,0.21,17.78,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202039,2,773,0.167,16.7,4337170,0.05,17.82,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202040,6,779,0.545,54.5,4337170,0.14,17.96,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202041,3,782,0.176,17.6,4337170,0.07,18.03,"COVID19Death","sex","2021-01-15_07-50-56","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
